Crop,Type,Soil,Ideal_Temp_C,Rainfall_mm,Season,Recommended_Fertilizer,Common_Pests/Diseases,Region_States,Sowing_Period,Harvest_Period,Average_Yield
Cardamom,Other,Alluvial,13-23,300-500,Annual,Urea,Nematode,Goa,Varies,Varies,3.02
Barley,Cereal,Sandy Loam,11-21,700-900,Rabi,Balanced NPK 100:50:50,Whitefly,Gujarat,Oct-Nov,Mar-Apr,4.36
Lentil,Pulse,Laterite,15-25,400-900,Kharif,Muriate of Potash,Mosaic virus,Puducherry,Jun-Jul,Sep-Oct,2.75
Potato,Vegetable,Red,13-23,800-900,Perennial,NPK 20:20:0,Brown spot,Jammu & Kashmir,Varies,Varies,4.28
Orange,Fruit,Alluvial,16-26,800-1100,Zaid,DAP,None common,Karnataka,Mar-Apr,Jun-Jul,2.36
Spinach,Vegetable,Black (Regur),18-28,400-1200,Zaid,Urea,Whitefly,Sikkim,Mar-Apr,Jun-Jul,2.91
Rapeseed,Oilseed,Saline,26-36,300-800,Annual,NPK 20:20:0,Bacterial blight,Punjab,Varies,Varies,3.12
Arecanut,Plantation,Clay Loam,12-22,1500-1800,Annual,Organic FYM,Anthracnose,Uttarakhand,Varies,Varies,1.95
Tobacco,Cash Crop,Clay Loam,20-30,800-1100,Annual,Muriate of Potash,Brown spot,Madhya Pradesh,Varies,Varies,3.38
Tea,Plantation,Clay Loam,27-37,200-500,Zaid,NPK 20:20:0,Powdery mildew,Himachal Pradesh,Mar-Apr,Jun-Jul,2.45
Safflower,Oilseed,Loamy,24-34,1500-1700,Annual,Gypsum,Mosaic virus,Odisha,Varies,Varies,3.25
Spinach,Vegetable,Laterite,19-29,500-700,Rabi,Urea,Leaf roller,Kerala,Oct-Nov,Mar-Apr,4.81
Pearl Millet,Cereal,Clay Loam,30-40,1200-1400,Perennial,Gypsum,Fruit borer,Kerala,Varies,Varies,1.8
Urad,Pulse,Laterite,15-25,1000-1500,Kharif,Lime,Rust,Puducherry,Jun-Jul,Sep-Oct,4.14
Bottle Gourd,Other,Peaty,29-39,700-1200,Annual,No fertilizer (organic),Locusts,Madhya Pradesh,Varies,Varies,4.18
Sugarcane,Plantation,Loamy,18-28,500-800,Annual,Gypsum,Powdery mildew,Kerala,Varies,Varies,77
Cinnamon,Pulse,Sandy,17-27,600-900,Zaid,Lime,Aphids,West Bengal,Mar-Apr,Jun-Jul,1.48
Cotton,Vegetable,Black (Regur),23-33,800-1100,Annual,Gypsum,Powdery mildew,Punjab,Varies,Varies,1.73
Maize,Cereal,Loamy,10-20,700-1000,Perennial,Ammonium Sulphate,Thrips,Arunachal Pradesh,Varies,Varies,4.1
Apple,Fruit,Laterite,18-28,800-1300,Kharif,Ammonium Sulphate,Root rot,Meghalaya,Jun-Jul,Sep-Oct,29
Pomegranate,Fruit,Loamy,14-24,1200-2000,Kharif,Ammonium Sulphate,Fall armyworm,Goa,Jun-Jul,Sep-Oct,3.05
Cardamom,Oilseed,Loamy,15-25,200-500,Perennial,Organic FYM,Brown spot,Chhattisgarh,Varies,Varies,2.55
Guava,Fruit,Clay Loam,18-28,300-800,Kharif,No fertilizer (organic),Thrips,Punjab,Jun-Jul,Sep-Oct,19
Apple,Fruit,Alluvial,10-20,500-700,Kharif,Compost,Cutworm,Kerala,Jun-Jul,Sep-Oct,12
Bitter Gourd,Pulse,Saline,16-26,900-1200,Zaid,Muriate of Potash,Fungal wilt,Sikkim,Mar-Apr,Jun-Jul,4.86
Sugarcane,Plantation,Black (Regur),28-38,200-500,Annual,Balanced NPK 100:50:50,Fruit borer,Rajasthan,Varies,Varies,120
Arecanut,Plantation,Saline,30-40,500-600,Zaid,Balanced NPK 100:50:50,Fungal wilt,Himachal Pradesh,Mar-Apr,Jun-Jul,2.03
Barley,Cereal,Peaty,23-33,1500-1800,Kharif,Lime,Powdery mildew,Maharashtra,Jun-Jul,Sep-Oct,1.01
Drumstick,Pulse,Clay Loam,21-31,1500-2000,Rabi,Ammonium Sulphate,Blast disease,Arunachal Pradesh,Oct-Nov,Mar-Apr,3.15
Bottle Gourd,Plantation,Clay Loam,28-38,600-900,Rabi,DAP,Bacterial blight,Delhi,Oct-Nov,Mar-Apr,2.99
Guava,Fruit,Alluvial,25-35,700-900,Perennial,NPK 20:20:0,Nematode,Himachal Pradesh,Varies,Varies,16
Cabbage,Vegetable,Saline,18-28,1000-1100,Annual,NPK 20:20:0,Aphids,Kerala,Varies,Varies,3.7
Grapes,Fruit,Loamy,24-34,200-300,Zaid,NPK 20:20:0,Fruit borer,Nagaland,Mar-Apr,Jun-Jul,2.13
Papaya,Fruit,Peaty,26-36,700-1200,Annual,Organic FYM,Nematode,Nagaland,Varies,Varies,2.52
Orange,Fruit,Laterite,20-30,300-1100,Rabi,NPK 20:20:0,Brown spot,Arunachal Pradesh,Oct-Nov,Mar-Apr,3.09
Brinjal,Vegetable,Laterite,19-29,500-800,Rabi,NPK 12:32:16,Stem borer,Nagaland,Oct-Nov,Mar-Apr,2.78
Ragi,Cereal,Sandy,14-24,1500-2000,Kharif,Urea,Fall armyworm,Tamil Nadu,Jun-Jul,Sep-Oct,2.72
Coffee,Plantation,Sandy,25-35,300-400,Perennial,Gypsum,Aphids,Goa,Varies,Varies,2.57
Ragi,Cereal,Red,28-38,600-700,Rabi,DAP,Thrips,Tripura,Oct-Nov,Mar-Apr,2.7
Apple,Fruit,Clay Loam,24-34,900-1200,Annual,Ammonium Sulphate,Pod borer,Goa,Varies,Varies,27
Jowar,Cereal,Laterite,30-40,500-800,Kharif,Muriate of Potash,Rust,Odisha,Jun-Jul,Sep-Oct,2.71
Lentil,Pulse,Saline,25-35,600-700,Rabi,NPK 12:32:16,Leaf spot,Tamil Nadu,Oct-Nov,Mar-Apr,3.6
Orange,Fruit,Saline,16-26,800-900,Annual,NPK 20:20:0,Powdery mildew,West Bengal,Varies,Varies,4.77
Pearl Millet,Cereal,Red,19-29,1200-2000,Zaid,Gypsum,Whitefly,Chhattisgarh,Mar-Apr,Jun-Jul,3.82
Garlic,Vegetable,Peaty,25-35,900-1000,Annual,Urea,Powdery mildew,Arunachal Pradesh,Varies,Varies,1.97
Tur (Pigeon Pea),Pulse,Saline,28-38,200-500,Annual,Urea,None common,Tripura,Varies,Varies,1.72
Cinnamon,Fruit,Red,28-38,800-1300,Kharif,Gypsum,Nematode,Madhya Pradesh,Jun-Jul,Sep-Oct,2.47
Sugarcane,Plantation,Clay Loam,25-35,600-1100,Annual,Urea,Late blight,Haryana,Varies,Varies,80
Tomato,Vegetable,Black (Regur),22-32,1000-1100,Annual,Gypsum,Powdery mildew,Punjab,Varies,Varies,1.59
Moringa,Plantation,Alluvial,16-26,600-1400,Rabi,NPK 12:32:16,Late blight,Delhi,Oct-Nov,Mar-Apr,3.22
Grapes,Fruit,Sandy,27-37,200-1000,Perennial,DAP,Rust,Jammu & Kashmir,Varies,Varies,4.39
Soybean,Oilseed,Loamy,19-29,1000-1300,Perennial,Gypsum,Early blight,Kerala,Varies,Varies,2.35
Coconut,Plantation,Red,12-22,600-1100,Zaid,Lime,Bacterial blight,Jammu & Kashmir,Mar-Apr,Jun-Jul,5021 nuts/tree
Brinjal,Vegetable,Saline,28-38,1500-2000,Rabi,Gypsum,Thrips,Andhra Pradesh,Oct-Nov,Mar-Apr,2.38
Guava,Fruit,Sandy Loam,16-26,500-1300,Perennial,NPK 20:20:0,None common,Madhya Pradesh,Varies,Varies,9
Rapeseed,Oilseed,Clay Loam,22-32,1500-1700,Perennial,Urea,Cutworm,Telangana,Varies,Varies,4.44
Moong (Green Gram),Pulse,Black (Regur),26-36,900-1000,Rabi,Ammonium Sulphate,Powdery mildew,West Bengal,Oct-Nov,Mar-Apr,1.64
Onion,Vegetable,Saline,22-32,1500-1600,Zaid,Balanced NPK 100:50:50,Thrips,Rajasthan,Mar-Apr,Jun-Jul,4.72
Drumstick,Other,Alluvial,29-39,300-500,Zaid,NPK 20:20:0,Mosaic virus,Haryana,Mar-Apr,Jun-Jul,2.21
Moong (Green Gram),Pulse,Red,19-29,200-300,Zaid,Urea,Pod borer,Gujarat,Mar-Apr,Jun-Jul,2.05
Lentil,Pulse,Red,15-25,300-1100,Perennial,Compost,Anthracnose,Kerala,Varies,Varies,2.98
Orange,Fruit,Sandy,24-34,600-700,Perennial,NPK 12:32:16,Anthracnose,Jharkhand,Varies,Varies,1.57
Cauliflower,Vegetable,Clay Loam,18-28,900-1200,Rabi,Ammonium Sulphate,Early blight,Bihar,Oct-Nov,Mar-Apr,2.01
Okra,Vegetable,Alluvial,22-32,600-700,Annual,Balanced NPK 100:50:50,None common,Arunachal Pradesh,Varies,Varies,5.1
Moringa,Fruit,Laterite,29-39,700-900,Rabi,Compost,Bacterial blight,Meghalaya,Oct-Nov,Mar-Apr,4.14
Sesamum,Pulse,Alluvial,19-29,900-1000,Annual,Organic FYM,Mosaic virus,West Bengal,Varies,Varies,1.16
Saffron,Oilseed,Laterite,14-24,1000-1300,Annual,Lime,Bacterial blight,Jammu & Kashmir,Varies,Varies,2.11
Bottle Gourd,Fruit,Sandy Loam,13-23,900-1000,Rabi,NPK 20:20:0,Anthracnose,Arunachal Pradesh,Oct-Nov,Mar-Apr,3.43
Betel Vine,Pulse,Clay Loam,10-20,600-1400,Kharif,Gypsum,Nematode,Meghalaya,Jun-Jul,Sep-Oct,3.56
Guava,Fruit,Black (Regur),17-27,900-1000,Annual,Lime,Root rot,Puducherry,Varies,Varies,27
Apple,Fruit,Loamy,19-29,1500-2000,Kharif,Muriate of Potash,Leaf roller,Punjab,Jun-Jul,Sep-Oct,17
Moringa,Pulse,Black (Regur),17-27,1000-1200,Perennial,Gypsum,Nematode,Meghalaya,Varies,Varies,4.78
Saffron,Oilseed,Clay Loam,30-40,300-800,Annual,Ammonium Sulphate,Bacterial blight,Punjab,Varies,Varies,3.29
Cinnamon,Vegetable,Sandy Loam,13-23,1500-1800,Annual,Balanced NPK 100:50:50,Nematode,Punjab,Varies,Varies,2.18
Soybean,Oilseed,Black (Regur),16-26,1500-2300,Kharif,Urea,Root rot,Kerala,Jun-Jul,Sep-Oct,5.02
Banana,Fruit,Peaty,16-26,1200-1400,Rabi,Organic FYM,None common,West Bengal,Oct-Nov,Mar-Apr,58
Rice,Cereal,Red,14-24,1000-1300,Rabi,DAP,Anthracnose,Uttarakhand,Oct-Nov,Mar-Apr,0.61
Grapes,Fruit,Alluvial,15-25,600-700,Rabi,No fertilizer (organic),Powdery mildew,Telangana,Oct-Nov,Mar-Apr,0.99
Cucumber,Cash Crop,Peaty,28-38,300-800,Annual,NPK 20:20:0,Fungal wilt,Punjab,Varies,Varies,4.19
Coriander,Plantation,Alluvial,11-21,900-1400,Perennial,Balanced NPK 100:50:50,Whitefly,Andhra Pradesh,Varies,Varies,3.62
Gram,Pulse,Saline,14-24,300-500,Zaid,Compost,Powdery mildew,Goa,Mar-Apr,Jun-Jul,2.89
Okra,Vegetable,Peaty,29-39,800-900,Kharif,Balanced NPK 100:50:50,Powdery mildew,Delhi,Jun-Jul,Sep-Oct,4.14
Mango,Fruit,Loamy,17-27,800-1100,Perennial,Ammonium Sulphate,Powdery mildew,Arunachal Pradesh,Varies,Varies,11
Rapeseed,Oilseed,Sandy Loam,18-28,700-900,Perennial,DAP,Aphids,Jammu & Kashmir,Varies,Varies,1.29
Papaya,Fruit,Peaty,11-21,1200-2000,Annual,Organic FYM,Anthracnose,Bihar,Varies,Varies,2.98
Cardamom,Cereal,Sandy,29-39,600-900,Kharif,Compost,Locusts,Assam,Jun-Jul,Sep-Oct,1.6
Urad,Pulse,Peaty,21-31,300-600,Annual,NPK 20:20:0,Powdery mildew,Uttarakhand,Varies,Varies,3.42
Sorghum,Fruit,Alluvial,15-25,600-900,Zaid,Organic FYM,Stem borer,Odisha,Mar-Apr,Jun-Jul,4.34
Pomegranate,Fruit,Red,30-40,200-300,Annual,NPK 20:20:0,Fruit borer,Madhya Pradesh,Varies,Varies,2.35
Mustard,Oilseed,Saline,29-39,300-400,Rabi,Muriate of Potash,None common,Sikkim,Oct-Nov,Mar-Apr,0.77
Cinnamon,Spice,Loamy,29-39,900-1400,Zaid,NPK 20:20:0,None common,Telangana,Mar-Apr,Jun-Jul,1.39
Brinjal,Vegetable,Peaty,19-29,200-400,Perennial,Compost,Leaf roller,Uttar Pradesh,Varies,Varies,2.3
Sesamum,Fruit,Sandy,20-30,300-400,Perennial,No fertilizer (organic),Powdery mildew,Odisha,Varies,Varies,1.56
Orange,Fruit,Peaty,21-31,300-800,Kharif,Ammonium Sulphate,Stem borer,Chhattisgarh,Jun-Jul,Sep-Oct,4.86
Cardamom,Spice,Clay Loam,19-29,300-800,Kharif,Organic FYM,Blast disease,Himachal Pradesh,Jun-Jul,Sep-Oct,4.51
Betel Vine,Pulse,Clay Loam,13-23,500-1000,Annual,Ammonium Sulphate,Locusts,Haryana,Varies,Varies,2.31
Cabbage,Vegetable,Sandy Loam,15-25,300-1100,Kharif,Lime,Locusts,Assam,Jun-Jul,Sep-Oct,4.24
Sunflower,Oilseed,Black (Regur),14-24,600-800,Rabi,Compost,Cutworm,Tripura,Oct-Nov,Mar-Apr,3.39
Moringa,Plantation,Saline,28-38,900-1700,Annual,Organic FYM,Powdery mildew,Maharashtra,Varies,Varies,1.13
Cinnamon,Fruit,Sandy,28-38,200-500,Annual,DAP,Pod borer,Chhattisgarh,Varies,Varies,2.23
Brinjal,Vegetable,Black (Regur),29-39,1200-2000,Perennial,Gypsum,Fall armyworm,Jharkhand,Varies,Varies,4.84
Barley,Cereal,Saline,30-40,500-800,Annual,Gypsum,Locusts,West Bengal,Varies,Varies,4.54
Cabbage,Vegetable,Peaty,30-40,400-500,Rabi,No fertilizer (organic),Late blight,Chhattisgarh,Oct-Nov,Mar-Apr,3.11
Betel Vine,Cash Crop,Sandy,22-32,800-1100,Annual,Urea,Powdery mildew,Manipur,Varies,Varies,2.1
Pineapple,Fruit,Sandy,29-39,400-700,Kharif,Compost,Anthracnose,West Bengal,Jun-Jul,Sep-Oct,19
Mustard,Oilseed,Red,29-39,300-600,Annual,Ammonium Sulphate,Powdery mildew,Himachal Pradesh,Varies,Varies,1.86
Tur (Pigeon Pea),Pulse,Peaty,21-31,200-500,Zaid,Muriate of Potash,Brown spot,Maharashtra,Mar-Apr,Jun-Jul,4.54
Apple,Fruit,Red,12-22,600-700,Annual,Lime,Mosaic virus,Delhi,Varies,Varies,24
Bajra,Cereal,Saline,14-24,1200-1700,Rabi,Muriate of Potash,Blast disease,Jammu & Kashmir,Oct-Nov,Mar-Apr,3.75
Jute,Plantation,Alluvial,23-33,700-900,Perennial,Compost,Pod borer,Tripura,Varies,Varies,3.76
Grapes,Fruit,Loamy,16-26,700-1500,Perennial,Gypsum,None common,Tamil Nadu,Varies,Varies,3.93
Saffron,Oilseed,Laterite,29-39,400-700,Kharif,Balanced NPK 100:50:50,Early blight,Uttarakhand,Jun-Jul,Sep-Oct,2.9
Soybean,Oilseed,Black (Regur),15-25,600-1100,Annual,Muriate of Potash,Powdery mildew,Haryana,Varies,Varies,4.25
Cucumber,Cash Crop,Alluvial,23-33,200-700,Annual,Organic FYM,Rust,Rajasthan,Varies,Varies,4.59
Sorghum,Cash Crop,Black (Regur),30-40,700-900,Rabi,Urea,Pod borer,Puducherry,Oct-Nov,Mar-Apr,4.34
Sesamum,Plantation,Loamy,29-39,200-300,Kharif,NPK 12:32:16,Brown spot,Jammu & Kashmir,Jun-Jul,Sep-Oct,2.09
Cardamom,Pulse,Sandy,17-27,600-700,Kharif,NPK 20:20:0,Powdery mildew,Manipur,Jun-Jul,Sep-Oct,3.94
Masoor,Pulse,Saline,27-37,200-1000,Annual,NPK 20:20:0,Leaf spot,West Bengal,Varies,Varies,1.58
Sweet Potato,Vegetable,Saline,23-33,400-500,Annual,Organic FYM,Aphids,Telangana,Varies,Varies,3.38
Tobacco,Cash Crop,Alluvial,22-32,900-1000,Perennial,Organic FYM,Bacterial blight,Arunachal Pradesh,Varies,Varies,1.43
Cauliflower,Vegetable,Black (Regur),28-38,700-900,Kharif,Organic FYM,Thrips,Maharashtra,Jun-Jul,Sep-Oct,3.7
Bottle Gourd,Plantation,Red,14-24,300-800,Kharif,NPK 12:32:16,Brown spot,Punjab,Jun-Jul,Sep-Oct,4.4
Rapeseed,Oilseed,Peaty,22-32,1000-1500,Zaid,Urea,None common,Manipur,Mar-Apr,Jun-Jul,1.6
Ragi,Cereal,Sandy,13-23,700-1200,Perennial,No fertilizer (organic),Late blight,Delhi,Varies,Varies,4.41
Coffee,Plantation,Loamy,21-31,1000-1300,Kharif,No fertilizer (organic),Powdery mildew,Haryana,Jun-Jul,Sep-Oct,2.08
Coffee,Plantation,Sandy,20-30,300-400,Zaid,Balanced NPK 100:50:50,Pod borer,Tamil Nadu,Mar-Apr,Jun-Jul,2.11
Cardamom,Oilseed,Loamy,21-31,900-1000,Zaid,Compost,Powdery mildew,Karnataka,Mar-Apr,Jun-Jul,3.74
Jowar,Cereal,Clay Loam,21-31,1000-1200,Kharif,Muriate of Potash,Fungal wilt,Meghalaya,Jun-Jul,Sep-Oct,3.43
Millet,Cereal,Sandy Loam,21-31,800-1600,Kharif,Compost,Cutworm,Meghalaya,Jun-Jul,Sep-Oct,2.57
Cinnamon,Pulse,Saline,14-24,1000-1300,Perennial,Organic FYM,Powdery mildew,Karnataka,Varies,Varies,1.55
Coffee,Plantation,Peaty,22-32,1000-1100,Zaid,NPK 12:32:16,Leaf spot,Chhattisgarh,Mar-Apr,Jun-Jul,1.54
Brinjal,Vegetable,Laterite,13-23,400-500,Perennial,Muriate of Potash,Leaf spot,Chhattisgarh,Varies,Varies,5.08
Rapeseed,Oilseed,Black (Regur),27-37,1000-1300,Zaid,Muriate of Potash,Leaf spot,Nagaland,Mar-Apr,Jun-Jul,4.63
Betel Vine,Other,Laterite,13-23,500-700,Rabi,Gypsum,Stem borer,Gujarat,Oct-Nov,Mar-Apr,2.96
Groundnut,Oilseed,Black (Regur),19-29,800-1300,Annual,Ammonium Sulphate,None common,Madhya Pradesh,Varies,Varies,3.63
Rapeseed,Oilseed,Loamy,24-34,1500-2300,Zaid,Muriate of Potash,None common,Jharkhand,Mar-Apr,Jun-Jul,3.07
Groundnut,Oilseed,Peaty,11-21,300-1100,Rabi,NPK 12:32:16,Blast disease,Odisha,Oct-Nov,Mar-Apr,2.47
Cauliflower,Vegetable,Sandy,12-22,600-800,Annual,NPK 12:32:16,Cutworm,Manipur,Varies,Varies,2.21
Tobacco,Cash Crop,Saline,28-38,400-600,Annual,No fertilizer (organic),Fungal wilt,Maharashtra,Varies,Varies,4.24
Sorghum,Pulse,Alluvial,30-40,1200-1500,Rabi,Compost,Powdery mildew,Sikkim,Oct-Nov,Mar-Apr,3.41
Okra,Vegetable,Loamy,17-27,1500-2000,Zaid,Gypsum,Aphids,Nagaland,Mar-Apr,Jun-Jul,1.21
Bottle Gourd,Plantation,Laterite,20-30,1200-1400,Zaid,No fertilizer (organic),Root rot,Arunachal Pradesh,Mar-Apr,Jun-Jul,4.54
Pomegranate,Fruit,Sandy Loam,26-36,1000-1100,Zaid,NPK 20:20:0,Late blight,Bihar,Mar-Apr,Jun-Jul,1.76
Moong (Green Gram),Pulse,Sandy,22-32,1200-1700,Rabi,Muriate of Potash,Root rot,Puducherry,Oct-Nov,Mar-Apr,2.98
Sugarcane,Plantation,Peaty,24-34,900-1200,Perennial,Urea,Aphids,Rajasthan,Varies,Varies,92
Pumpkin,Vegetable,Laterite,28-38,700-800,Kharif,NPK 12:32:16,Early blight,Sikkim,Jun-Jul,Sep-Oct,4.48
Bitter Gourd,Fruit,Peaty,10-20,300-800,Rabi,NPK 12:32:16,Mosaic virus,Gujarat,Oct-Nov,Mar-Apr,3.73
Pomegranate,Fruit,Saline,27-37,500-800,Annual,NPK 12:32:16,Aphids,Rajasthan,Varies,Varies,3.21
Chili,Vegetable,Red,13-23,800-1100,Zaid,Lime,Nematode,Tripura,Mar-Apr,Jun-Jul,1.7
Pomegranate,Fruit,Alluvial,11-21,200-400,Zaid,Gypsum,Locusts,Chhattisgarh,Mar-Apr,Jun-Jul,2.03
Sesamum,Cash Crop,Saline,20-30,400-900,Annual,No fertilizer (organic),Pod borer,Goa,Varies,Varies,2.66
Drumstick,Fruit,Loamy,10-20,700-1000,Kharif,Ammonium Sulphate,Fall armyworm,Tamil Nadu,Jun-Jul,Sep-Oct,4.25
Sorghum,Plantation,Sandy,30-40,1200-2000,Rabi,No fertilizer (organic),Leaf roller,Goa,Oct-Nov,Mar-Apr,2.85
Guava,Fruit,Laterite,11-21,1200-1300,Rabi,Urea,Late blight,Maharashtra,Oct-Nov,Mar-Apr,21
Cotton,Spice,Laterite,23-33,1000-1800,Perennial,No fertilizer (organic),Mosaic virus,Punjab,Varies,Varies,3.68
Safflower,Oilseed,Peaty,22-32,700-900,Perennial,Lime,Root rot,Jharkhand,Varies,Varies,2.66
Onion,Vegetable,Laterite,17-27,600-1400,Zaid,NPK 20:20:0,Pod borer,Tripura,Mar-Apr,Jun-Jul,1.8
Drumstick,Cash Crop,Loamy,21-31,1000-1300,Zaid,DAP,Fall armyworm,Meghalaya,Mar-Apr,Jun-Jul,3.5
Pear,Fruit,Red,19-29,200-500,Kharif,Organic FYM,Late blight,Manipur,Jun-Jul,Sep-Oct,1.98
Arecanut,Plantation,Sandy,27-37,600-800,Kharif,Compost,Mosaic virus,Goa,Jun-Jul,Sep-Oct,1.44
Apple,Fruit,Alluvial,13-23,800-1100,Perennial,DAP,Anthracnose,Tripura,Varies,Varies,12
Rice,Cereal,Red,23-33,1500-2000,Perennial,Balanced NPK 100:50:50,Brown spot,Tripura,Varies,Varies,4.42
Jowar,Cereal,Saline,17-27,1000-1100,Rabi,Ammonium Sulphate,Blast disease,Puducherry,Oct-Nov,Mar-Apr,5.0
Pear,Fruit,Red,19-29,200-300,Zaid,Compost,Fungal wilt,Bihar,Mar-Apr,Jun-Jul,4.3
Pumpkin,Other,Peaty,25-35,400-1200,Perennial,NPK 12:32:16,Brown spot,Himachal Pradesh,Varies,Varies,1.1
Pumpkin,Fruit,Red,10-20,700-1000,Annual,Balanced NPK 100:50:50,None common,Assam,Varies,Varies,2.09
Pomegranate,Fruit,Peaty,20-30,300-800,Kharif,Muriate of Potash,Cutworm,Andhra Pradesh,Jun-Jul,Sep-Oct,1.97
Onion,Vegetable,Laterite,24-34,600-900,Zaid,Compost,Mosaic virus,Goa,Mar-Apr,Jun-Jul,1.26
Grapes,Fruit,Black (Regur),24-34,600-800,Perennial,Balanced NPK 100:50:50,Locusts,Puducherry,Varies,Varies,4.59
Mustard,Oilseed,Sandy,21-31,1200-1400,Rabi,Muriate of Potash,Early blight,West Bengal,Oct-Nov,Mar-Apr,3.27
Papaya,Fruit,Peaty,25-35,1000-1200,Rabi,Balanced NPK 100:50:50,None common,Sikkim,Oct-Nov,Mar-Apr,3.82
Cucumber,Other,Sandy Loam,12-22,1200-1300,Kharif,Lime,Locusts,Assam,Jun-Jul,Sep-Oct,2.78
Safflower,Oilseed,Loamy,13-23,1500-1700,Annual,Gypsum,Aphids,Delhi,Varies,Varies,3.28
Pumpkin,Oilseed,Peaty,23-33,900-1700,Kharif,Lime,Late blight,Meghalaya,Jun-Jul,Sep-Oct,4.28
Pear,Fruit,Alluvial,16-26,1200-1300,Kharif,Ammonium Sulphate,Nematode,Nagaland,Jun-Jul,Sep-Oct,1.83
